Source,Target,DistanceMetric.WMD,SimilarityMetric.WMD_sim,DistanceMetric.SCM,SimilarityMetric.SCM_sim,EntropyMetric.MSI_I,EntropyMetric.MSI_X,EntropyMetric.Entropy_src,EntropyMetric.Entropy_tgt,EntropyMetric.JI,EntropyMetric.MI,EntropyMetric.Loss,EntropyMetric.Noise,SourceFile,TargetFile,Linked?
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/FullMissionPlan.java,1.145116629620046,0.4661751189617718,0.787117600440979,0.2128824,3.2776134368191157,1.3618978811135465,4.623516641218015,6.484911253552852,6.555670275311244,4.552757619459622,1.932153634093229,0.0707590217583922,RE-616.txt,FullMissionPlan.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/JSONMissionPlanReader.java,1.12956740136218,0.4695789385958617,0.7870143353939056,0.21298566,2.807354922057604,1.3343545280186873,4.623516641218015,5.9463269946797555,6.170108974523404,4.399734661374366,1.546592333305389,0.2237819798436486,RE-616.txt,JSONMissionPlanReader.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/ServiceIds.java,1.1665757415430171,0.461557831016703,0.8847652450203896,0.115234755,2.0,1.245112497836531,4.623516641218015,5.2354721870512275,5.666242725958913,4.1927461023103305,1.042726084740898,0.4307705389076854,RE-616.txt,ServiceIds.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/VirtualDrone.java,1.1781921720822726,0.4590963151997908,0.8058797121047974,0.19412029,3.1219280948873624,1.3519647487142494,4.623516641218015,7.007978549288543,7.093191848524576,4.538303341981983,2.469675207306561,0.0852132992360328,RE-616.txt,VirtualDrone.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/TaskList.java,1.1938573769238996,0.4558181450255177,0.8906665444374084,0.109333456,1.0,1.0,4.623516641218015,5.103475528438939,5.691097895977537,4.035894273679418,1.0675812547595216,0.5876223675385974,RE-616.txt,TaskList.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IMissionTask.java,1.178209508230451,0.4590926612988606,0.8674149662256241,0.13258503,1.584962500721156,1.1699250014423124,4.623516641218015,5.2774253787808245,5.861882110003147,4.039059909995694,1.2383654687851315,0.5844567312223221,RE-616.txt,IMissionTask.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/CommandIds.java,1.1474677273654146,0.4656647395706539,0.8525901287794113,0.14740987,2.584962500721156,1.315172029168969,4.623516641218015,5.220582577058131,5.653235860016137,4.1908633582600086,1.029719218798122,0.4326532829580056,RE-616.txt,CommandIds.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/SendToSubscriberCallable.java,0.9897802486708138,0.5025680603011345,0.5857338309288025,0.41426617,3.2776134368191157,1.3618978811135465,4.623516641218015,5.799543628953481,6.013594298588351,4.409465971583146,1.3900776573703355,0.2140506696348696,RE-616.txt,SendToSubscriberCallable.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/RouteTask.java,1.1718892557254363,0.4604286325206707,0.86508609354496,0.1349139,1.0,1.0,4.623516641218015,4.697845823084411,5.554073552566533,3.7672889117358936,0.9305569113485176,0.8562277294821214,RE-616.txt,RouteTask.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/IDroneConnectorServiceInstance.java,1.09485682364477,0.4773595926523197,0.8316661715507507,0.16833383,2.584962500721156,1.315172029168969,4.623516641218015,5.223624316242477,5.636472920503502,4.21066803695699,1.0129562792854871,0.4128486042610255,RE-616.txt,IDroneConnectorServiceInstance.java,0
/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/req/RE-616.txt,/Users/loganfecko/Desktop/Summer_Research/traceXplainer/dvc-data/systems/dronology/corpus/src/DroneVoltageSimulator.java,1.159820352751077,0.4630014708057766,0.8692762553691864,0.13072374,2.0,1.245112497836531,4.623516641218015,5.534117740217996,5.803977538938771,4.353656842497241,1.1804608977207556,0.2698597987207742,RE-616.txt,DroneVoltageSimulator.java,0
